,,0
AAPL,MSFT,0.81304343937239
GS,JPM,0.8123512187689703
KO,PG,0.7652991794362181
AXP,V,0.7312528468789489
CRM,MSFT,0.7268352010907011
AAPL,INTC,0.7167761412890225
AAPL,V,0.6962605640941884
AAPL,NKE,0.6945639881960018
CAT,DOW,0.6926271752974421
AXP,JPM,0.6861676106307252
AAPL,CRM,0.6835666717983265
AAPL,AXP,0.6721728781723321
INTC,MSFT,0.6707727185450176
HON,MMM,0.6703689481365639
MSFT,V,0.6675522611632976
AXP,GS,0.6655189655969048
JNJ,MRK,0.6541130002323036
AAPL,DIS,0.6524910916544503
KO,MCD,0.6514489566710295
MSFT,NKE,0.650351081196553
CAT,HON,0.6469744235649714
DOW,GS,0.6457472803266678
HON,MSFT,0.641962157940519
DIS,MSFT,0.6400529993329472
AXP,MSFT,0.6381954065918136
NKE,V,0.6378060940126963
HD,MSFT,0.6365055794957643
GS,V,0.6356642566414716
GS,HON,0.6332193503365808
AXP,DIS,0.63279816183893
AAPL,CSCO,0.632697246563542
DIS,GS,0.6294208334247072
JPM,V,0.6283811953238294
DIS,NKE,0.6233648757558788
CRM,DIS,0.6226622877271358
AXP,NKE,0.621359804729322
JNJ,PG,0.6209489279866122
DOW,JPM,0.6195486269168627
GS,MSFT,0.6152584753828816
DIS,V,0.6143947128277982
CRM,V,0.6131897160328694
HD,NKE,0.612840656300627
CAT,CVX,0.6127856897142931
AAPL,HON,0.6076722320044996
AXP,DOW,0.60717396923083
AXP,HON,0.6059397460745913
AAPL,GS,0.6057375085069616
GS,NKE,0.6052542103770066
AAPL,HD,0.6045759393525918
INTC,NKE,0.6036094118976288
GS,INTC,0.6005272934994741
MCD,PG,0.5975505636646561
HON,INTC,0.5968463505248666
JNJ,KO,0.5942776322785804
CSCO,HON,0.5931106723799897
CAT,GS,0.5927516191828299
AXP,BA,0.5920353191857394
HON,NKE,0.5916945022722795
CRM,NKE,0.5906838751493086
CAT,JPM,0.5848200392077326
HON,JPM,0.5847271490074394
CRM,INTC,0.5831566472818974
DOW,MMM,0.5831214833618283
CSCO,MSFT,0.5817746570181553
BA,GS,0.5807655882855208
DIS,JPM,0.5806493403627168
HD,HON,0.5749759431209834
DIS,INTC,0.5746625760140854
HON,V,0.5745347658562701
HD,V,0.5735461412222832
GS,MMM,0.5733559631607129
AAPL,JPM,0.5727525767986383
CRM,GS,0.5703586812679696
JPM,MMM,0.5700567936295047
HON,MCD,0.5698781207051131
JPM,NKE,0.5698556739253575
CSCO,INTC,0.5693804903479139
JNJ,UNH,0.5676836183523596
CSCO,KO,0.5598897166188506
GS,HD,0.5594718567305675
JPM,MSFT,0.5594340266101755
DOW,NKE,0.5584058106382055
AXP,CAT,0.5579253596904297
AXP,CSCO,0.5573269150194562
MMM,WBA,0.5570729645011745
DOW,HON,0.5569881603889817
KO,UNH,0.5568937663835897
INTC,V,0.5565738090911452
AXP,CRM,0.555287587651102
CSCO,JPM,0.5539564603398681
BA,DIS,0.5506406143094003
INTC,JPM,0.548761765118273
AMGN,JNJ,0.5483459402685738
DIS,HON,0.5481271397672545
BA,HON,0.548019952420485
HD,INTC,0.5467265799376688
JPM,TRV,0.5462971432269556
CSCO,NKE,0.5451611111170093
CRM,HON,0.5449443344152527
CRM,HD,0.5446411502435318
AAPL,BA,0.5427448932816817
AAPL,WBA,0.5418667803685382
JPM,MCD,0.5376296175878214
AXP,HD,0.5374452910607599
DIS,DOW,0.5360650270774916
MMM,V,0.535140849321197
INTC,MMM,0.5350309041632254
IBM,WBA,0.5347100058047349
CSCO,V,0.5329888789082531
CSCO,PG,0.532633973130434
PG,UNH,0.5308867316561983
CSCO,GS,0.5306374420758576
HD,WBA,0.5303092937757387
MCD,V,0.5294238037335808
HD,MMM,0.5293481624074383
DOW,INTC,0.5287461685892494
DIS,HD,0.5279290120249774
AXP,MMM,0.5276405712960284
BA,JPM,0.527318843505359
BA,INTC,0.5268391968708421
CSCO,HD,0.5259302413204214
DOW,WBA,0.5257952817156062
GS,WBA,0.5247062663098226
AAPL,MMM,0.5234749134613784
BA,NKE,0.5232259975222204
AAPL,KO,0.5226269342464134
DOW,V,0.5205097899235813
CAT,NKE,0.5196096528597207
KO,WBA,0.5194133906951999
AXP,WBA,0.5189117655868934
CSCO,IBM,0.5185739710389289
IBM,JPM,0.517199701889794
HD,KO,0.5154027085552717
HON,WBA,0.5153309989521133
IBM,MMM,0.5152549754091742
MMM,NKE,0.5141171250469292
AXP,INTC,0.510774255789186
CAT,V,0.5103586203825426
JPM,WBA,0.5103172306832778
GS,TRV,0.5096355713681147
INTC,WBA,0.5075735399218944
CSCO,MCD,0.5058522451132932
AAPL,DOW,0.505022143994863
AAPL,MCD,0.5049984377840399
HD,PG,0.504240339052198
BA,CAT,0.5039583696211771
CAT,WBA,0.5029399992637335
IBM,KO,0.5023986454259585
KO,V,0.5020316951423524
MCD,UNH,0.5017573596008851
IBM,PG,0.5008754258982308
MSFT,WBA,0.4997616309450604
JNJ,MCD,0.4996209344683061
CAT,MMM,0.4993539393397897
BA,MSFT,0.4993220644181782
HON,KO,0.4970564122029891
CAT,TRV,0.496704943377937
AAPL,IBM,0.4959815159776842
MRK,UNH,0.4953560429937974
IBM,JNJ,0.4949373382523251
IBM,V,0.49284482583103933
MCD,MMM,0.4911659069162537
HD,JPM,0.49084907043414855
CRM,JPM,0.48968704628288245
IBM,INTC,0.4877388035592984
DIS,WBA,0.4863800010248145
HON,TRV,0.4856117943880277
DOW,MSFT,0.48533642067839006
