,,0
GS,JPM,0.818237998604879
CAT,JPM,0.6960491522182434
AAPL,MSFT,0.6814636819372591
CAT,DOW,0.6741903044250074
CVX,DOW,0.6700325006599648
CAT,GS,0.6693542600176036
DOW,GS,0.664083943539332
DOW,JPM,0.6623184114811077
AXP,JPM,0.648910558971582
JPM,TRV,0.628618318594134
CVX,JPM,0.6023152233201219
CAT,CVX,0.5905423537135203
AXP,GS,0.5903801225822428
KO,PG,0.5901296290740917
AXP,CVX,0.5869007811527495
AXP,CAT,0.5823445234270785
AXP,TRV,0.5808062511192605
HON,MMM,0.5773648360005897
CVX,GS,0.5765674858226373
KO,MCD,0.5731830076614849
JNJ,PG,0.5670413473634849
HON,JPM,0.5627856400546773
HON,TRV,0.5593455987810306
GS,TRV,0.5588059049318513
AXP,DOW,0.5544460186870164
DOW,HON,0.5475497133226336
CAT,HON,0.5389263542151637
AXP,BA,0.532238654829966
AXP,DIS,0.524315472699506
AMGN,JNJ,0.5223322530598685
AXP,HON,0.5202126823542987
CRM,MSFT,0.5160933801253752
CAT,TRV,0.5155461400839714
GS,HON,0.5091170144390799
DOW,TRV,0.5074858098343977
BA,HON,0.5027389876081954
AXP,V,0.500219647288838
DIS,V,0.49905741183439256
BA,GS,0.4961712102052679
BA,CVX,0.49187841889678807
JNJ,MMM,0.4872034574716766
BA,JPM,0.48356052306825786
BA,CAT,0.480976417187194
BA,DOW,0.48003484145191727
CVX,TRV,0.47840264057375803
TRV,VZ,0.4743134870534131
KO,TRV,0.47154232985760075
DIS,HON,0.46910946270548404
HON,MCD,0.46332743180587266
PG,UNH,0.4604543112192258
CSCO,KO,0.456157525576457
MCD,TRV,0.45451456802812434
PG,VZ,0.45431199189816357
HON,KO,0.4522112223483785
CSCO,MMM,0.45166289742738014
CVX,HON,0.4516314240200003
TRV,V,0.4471154442852345
CSCO,HON,0.4464555871788968
BA,DIS,0.4440323344690746
CAT,DIS,0.4400081979112274
IBM,MMM,0.43881592234474487
JNJ,KO,0.4346554938476628
CSCO,MSFT,0.42954549665977054
DIS,GS,0.42549298193389523
KO,MMM,0.424772972658
DIS,JPM,0.4240592632351645
HON,INTC,0.4216699681272117
MMM,TRV,0.4164162043627546
TRV,UNH,0.41420603986083043
HON,V,0.40761326735652537
DIS,DOW,0.4019211919466949
DIS,TRV,0.40163928103516516
CSCO,MCD,0.39237906803123007
PG,TRV,0.39010839171848877
HD,MSFT,0.3863231145927655
AAPL,CRM,0.38616161069253574
CSCO,PG,0.38453016228629505
BA,TRV,0.38377377742082186
CSCO,TRV,0.38354329271120613
HD,MCD,0.38162293318524004
AMGN,PG,0.3757585821064485
IBM,TRV,0.37350912496093536
HON,UNH,0.37328408320289425
HD,HON,0.3728747822548106
INTC,MSFT,0.37264894384755093
AAPL,CSCO,0.3714818688541866
MCD,V,0.3689023651038077
DOW,MMM,0.367226822443247
MMM,WBA,0.36534721308684776
JNJ,WMT,0.364299191700039
CSCO,JNJ,0.36338298650982354
PG,WMT,0.3629812533976437
AAPL,HD,0.3622598053977956
MCD,PG,0.36200175088917486
IBM,JPM,0.3602678038679786
AMGN,CSCO,0.35982045791012046
MCD,MSFT,0.35904971134348607
DIS,MCD,0.35892136422754445
JNJ,UNH,0.3580199756681372
KO,V,0.3575763039485624
HD,UNH,0.3573025564860977
CVX,DIS,0.3526635239698129
KO,MSFT,0.35211431987338837
DOW,IBM,0.3516724995841708
HON,IBM,0.34997276332939153
CVX,IBM,0.3499694225129641
AXP,MCD,0.3487877419520475
CSCO,V,0.3479513820403912
AAPL,INTC,0.34781423597284433
BA,MCD,0.34726706543575786
JPM,V,0.3470988781368764
CSCO,IBM,0.3470927228083601
AMGN,UNH,0.3429649293462419
JPM,VZ,0.34144511567917873
WBA,WMT,0.34129327118114594
HD,WMT,0.3387411404870957
KO,VZ,0.3384726757017693
HON,VZ,0.3367542387750337
CSCO,INTC,0.3333582375152628
MMM,PG,0.33331785679658815
CAT,MMM,0.33065285122309807
CSCO,DOW,0.33007142589795774
CSCO,HD,0.3281359996261299
