,,0
AAPL,MSFT,0.8097408983111496
GS,JPM,0.8046235007056818
KO,PG,0.7634077844716205
AXP,V,0.7339447792034324
CRM,MSFT,0.7275777295761078
AAPL,INTC,0.7158497741876735
AAPL,V,0.6964445851915196
HON,MMM,0.6900423994604495
AAPL,NKE,0.6859648871747208
AXP,JPM,0.6851886635211466
AAPL,CRM,0.6796497602548695
CAT,DOW,0.6741646949728559
AAPL,AXP,0.670338132001689
INTC,MSFT,0.669479438209531
MSFT,V,0.6642784411822007
AXP,GS,0.6606254386003028
GS,HON,0.6524068178639115
DIS,MSFT,0.6504201035095013
AAPL,DIS,0.6499951476462785
DOW,GS,0.6480899519178789
KO,MCD,0.6478328505533729
HD,MSFT,0.6466714478490223
MSFT,NKE,0.644624393980975
CAT,HON,0.6439544257118132
NKE,V,0.641694212221205
HON,MSFT,0.6411380910621276
GS,V,0.639970831419419
JPM,V,0.6383955326707593
AAPL,CSCO,0.6300294709102688
JNJ,MRK,0.6295894748963147
CRM,V,0.6278924139130798
AXP,MSFT,0.6261676626167301
DOW,JPM,0.6242816526858945
DIS,GS,0.62120652539833
AXP,HON,0.6211041763819137
DIS,NKE,0.620907388635134
CRM,DIS,0.6194467326072522
DIS,V,0.6188256181108044
AXP,DIS,0.6186556949921914
AXP,NKE,0.6166836217522494
GS,MSFT,0.6140729177902119
CAT,CVX,0.6114890881060282
AAPL,HON,0.6085711319996382
HD,NKE,0.6075136246805192
AXP,DOW,0.6052207725482044
GS,NKE,0.6040901251958356
CSCO,HON,0.6040583770143464
AAPL,GS,0.6022121830138569
HON,JPM,0.6021977524409526
HON,NKE,0.6015732863527018
AAPL,HD,0.6010073723431886
JNJ,PG,0.60071133895943
INTC,NKE,0.5970908487976737
CRM,NKE,0.5928610956584138
GS,INTC,0.592034823801557
MCD,PG,0.5894386950371269
HON,INTC,0.5874164856834934
HON,V,0.5858957865083764
CAT,JPM,0.5844274113991221
CRM,INTC,0.5823184670999143
AXP,BA,0.5818632856230139
CSCO,MSFT,0.5814259977281224
HD,HON,0.5813348312201522
DOW,MMM,0.58115321591348
DOW,HON,0.5810793520507899
HON,MCD,0.5769434098588859
CAT,GS,0.5760545577204532
GS,MMM,0.5740160863102911
BA,GS,0.5727144560920014
DIS,INTC,0.5725377612495444
JNJ,KO,0.571941497764066
BA,HON,0.5716934789468991
AAPL,JPM,0.570955101175576
CSCO,INTC,0.5702484497603906
JPM,NKE,0.5681067466902638
DIS,JPM,0.5676597182849094
CRM,GS,0.5675580526123603
GS,HD,0.5671419092178347
MMM,WBA,0.5652206398309518
DIS,HON,0.563229338923925
DOW,NKE,0.5631781905001761
JPM,MMM,0.5626087293435205
HD,V,0.5614888368866664
KO,UNH,0.5582710077659576
CRM,HD,0.5559929839810397
AXP,CSCO,0.5539154101261599
AXP,CRM,0.5531547779952855
CSCO,KO,0.5529257992423079
JPM,TRV,0.5527817607229505
CSCO,JPM,0.5523692583041099
INTC,V,0.5508606365287596
JPM,MSFT,0.5495751386499186
AXP,CAT,0.5486548761401098
HD,INTC,0.547438751956103
AAPL,WBA,0.5464759903789381
MRK,UNH,0.5447980762798724
CSCO,NKE,0.5440395011366183
HD,MMM,0.5434314829065596
JPM,MCD,0.5417434864005277
AMGN,JNJ,0.541522623303272
CRM,HON,0.5415189775609514
DIS,HD,0.5408030661474189
